Ref,Val,Package,PosX,PosY,Rot,Side
"BUZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ",-432.816000,-20.066000,0.000000,bottom
"C1","0.1uF","C_0805_2012Metric",-433.136000,-34.036000,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-414.686750,-47.498000,-90.000000,bottom
"C3","22pF","C_0805_2012Metric",-422.910000,-54.290000,-90.000000,bottom
"C4","22pF","C_0805_2012Metric",-430.614500,-51.934500,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-417.068000,-47.498000,-90.000000,bottom
"C6","1uF","C_0805_2012Metric",-436.880000,-42.418000,0.000000,bottom
"C7","10uF","C_0805_2012Metric",-433.477000,-51.934500,90.000000,bottom
"C8","0.1uF","C_0805_2012Metric",-398.018000,-27.686000,180.000000,bottom
"C9","0.1uF","C_0805_2012Metric",-384.810000,-22.352000,180.000000,bottom
"C10","0.1uF","C_0805_2012Metric",-422.148000,-23.876000,180.000000,bottom
"C11","0.1uF","C_0805_2012Metric",-417.510000,-22.352000,0.000000,bottom
"D1","D_Small","D_SOD-123",-38.862000,-34.607500,90.000000,bottom
"D2","D_Small","D_SOD-123",-38.862000,-72.707500,90.000000,bottom
"D3","D_Small","D_SOD-123",-43.624500,-91.757500,90.000000,bottom
"D4","D_Small","D_SOD-123",-46.005750,-110.807500,90.000000,bottom
"D5","D_Small","D_SOD-123",-50.768250,-129.857500,90.000000,bottom
"D6","D_Small","D_SOD-123",-43.624500,-148.907500,90.000000,bottom
"D7","D_Small","D_SOD-123",-69.818250,-148.907500,90.000000,bottom
"D8","D_Small","D_SOD-123",-81.724500,-129.857500,90.000000,bottom
"D9","D_Small","D_SOD-123",-72.199500,-110.807500,90.000000,bottom
"D10","D_Small","D_SOD-123",-67.437000,-91.757500,90.000000,bottom
"D11","D_Small","D_SOD-123",-57.912000,-72.707500,90.000000,bottom
"D12","D_Small","D_SOD-123",-76.962000,-34.607500,90.000000,bottom
"D13","D_Small","D_SOD-123",-76.962000,-72.707500,90.000000,bottom
"D14","D_Small","D_SOD-123",-86.487000,-91.757500,90.000000,bottom
"D15","D_Small","D_SOD-123",-91.249500,-110.807500,90.000000,bottom
"D16","D_Small","D_SOD-123",-100.774500,-129.857500,90.000000,bottom
"D17","D_Small","D_SOD-123",-96.012000,-148.907500,90.000000,bottom
"D18","D_Small","D_SOD-123",-119.824500,-129.857500,90.000000,bottom
"D19","D_Small","D_SOD-123",-110.299500,-110.807500,90.000000,bottom
"D20","D_Small","D_SOD-123",-105.537000,-93.407500,90.000000,bottom
"D21","D_Small","D_SOD-123",-96.012000,-72.707500,90.000000,bottom
"D22","D_Small","D_SOD-123",-96.012000,-34.607500,90.000000,bottom
"D23","D_Small","D_SOD-123",-115.062000,-34.607500,90.000000,bottom
"D24","D_Small","D_SOD-123",-115.062000,-72.707500,90.000000,bottom
"D25","D_Small","D_SOD-123",-124.587000,-91.757500,90.000000,bottom
"D26","D_Small","D_SOD-123",-129.349500,-110.807500,90.000000,bottom
"D27","D_Small","D_SOD-123",-138.874500,-129.857500,90.000000,bottom
"D28","D_Small","D_SOD-123",-172.212000,-148.907500,90.000000,bottom
"D29","D_Small","D_SOD-123",-157.924500,-129.857500,90.000000,bottom
"D30","D_Small","D_SOD-123",-148.399500,-110.807500,90.000000,bottom
