Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","WS2812B","WS2812BDual",384.904000,-28.016000,0.000000,top
"LED2","WS2812B","WS2812BDual",404.904000,-28.016000,0.000000,top
"LED3","WS2812B","WS2812BDual",424.904000,-28.016000,0.000000,top
"SW_0","MX-NoLED","MX-1U-NoLED",219.837000,-72.707500,0.000000,top
"SW_1","MX-NoLED","MX-1U-NoLED",48.387000,-72.707500,0.000000,top
"SW_2","MX-NoLED","MX-1U-NoLED",67.437000,-72.707500,0.000000,top
"SW_3","MX-NoLED","MX-1U-NoLED",86.487000,-72.707500,0.000000,top
"SW_4","MX-NoLED","MX-1U-NoLED",105.537000,-72.707500,0.000000,top
"SW_5","MX-NoLED","MX-1U-NoLED",124.587000,-72.707500,0.000000,top
"SW_6","MX-NoLED","MX-1U-NoLED",143.637000,-72.707500,0.000000,top
"SW_7","MX-NoLED","MX-1U-NoLED",162.687000,-72.707500,0.000000,top
"SW_8","MX-NoLED","MX-1U-NoLED",181.737000,-72.707500,0.000000,top
"SW_9","MX-NoLED","MX-1U-NoLED",200.787000,-72.707500,0.000000,top
"SW_A1","MX-NoLED","MX-1U-NoLED",62.674500,-110.807500,0.000000,top
"SW_APOS1","MX-NoLED","MX-1U-NoLED",253.174500,-110.807500,0.000000,top
"SW_B1","MX-NoLED","MX-1U-NoLED",148.399500,-129.857500,0.000000,top
"SW_BACKSP1","MX-NoLED","MX-2U-NoLED",286.512000,-72.707500,0.000000,top
"SW_BKSLS1","MX-NoLED","MX-1.5U-NoLED",291.274500,-91.757500,0.000000,top
"SW_C1","MX-NoLED","MX-1U-NoLED",110.299500,-129.857500,0.000000,top
"SW_CAP1","MX-NoLED","MX-1.75U-NoLED",36.480750,-110.807500,0.000000,top
"SW_COLON1","MX-NoLED","MX-1U-NoLED",234.124500,-110.807500,0.000000,top
"SW_COMMA1","MX-NoLED","MX-1U-NoLED",205.549500,-129.857500,0.000000,top
"SW_D1","MX-NoLED","MX-1U-NoLED",100.774500,-110.807500,0.000000,top
"SW_DEL1","MX-NoLED","MX-1U-NoLED",323.659500,-91.757500,0.000000,top
"SW_DOWN1","MX-NoLED","MX-1U-NoLED",342.709500,-148.907500,0.000000,top
"SW_E1","MX-NoLED","MX-1U-NoLED",96.012000,-91.757500,0.000000,top
"SW_END1","MX-NoLED","MX-1U-NoLED",342.709500,-91.757500,0.000000,top
"SW_ENTER1","MX-NoLED","MX-2.25U-NoLED",284.130750,-110.807500,0.000000,top
"SW_EQ1","MX-NoLED","MX-1U-NoLED",257.937000,-72.707500,0.000000,top
"SW_ESC1","MX-NoLED","MX-1U-NoLED",29.337000,-34.607500,90.000000,top
"SW_F1","MX-NoLED","MX-1U-NoLED",67.437000,-34.607500,90.000000,top
"SW_F2","MX-NoLED","MX-1U-NoLED",86.487000,-34.607500,90.000000,top
"SW_F3","MX-NoLED","MX-1U-NoLED",105.537000,-34.607500,90.000000,top
"SW_F4","MX-NoLED","MX-1U-NoLED",124.587000,-34.607500,90.000000,top
"SW_F5","MX-NoLED","MX-1U-NoLED",153.162000,-34.607500,90.000000,top
"SW_F6","MX-NoLED","MX-1U-NoLED",172.212000,-34.607500,90.000000,top
"SW_F7","MX-NoLED","MX-1U-NoLED",191.262000,-34.607500,90.000000,top
