Designator,Mid X,Mid Y,Rotation,Layer
"BUZ1",-432.816000,-20.066000,0.000000,bottom
"C1",-433.136000,-34.036000,180.000000,bottom
"C2",-414.686750,-47.498000,-90.000000,bottom
"C3",-422.910000,-54.290000,-90.000000,bottom
"C4",-430.614500,-51.934500,90.000000,bottom
"C5",-417.068000,-47.498000,-90.000000,bottom
"C6",-436.880000,-42.418000,0.000000,bottom
"C7",-433.477000,-51.934500,90.000000,bottom
"C8",-398.018000,-27.686000,180.000000,bottom
"C9",-384.810000,-22.352000,180.000000,bottom
"C10",-422.148000,-23.876000,180.000000,bottom
"C11",-417.510000,-22.352000,0.000000,bottom
"D1",-38.862000,-34.607500,90.000000,bottom
"D2",-38.862000,-72.707500,90.000000,bottom
"D3",-43.624500,-91.757500,90.000000,bottom
"D4",-46.005750,-110.807500,90.000000,bottom
"D5",-50.768250,-129.857500,90.000000,bottom
"D6",-43.624500,-148.907500,90.000000,bottom
"D7",-69.818250,-148.907500,90.000000,bottom
"D8",-81.724500,-129.857500,90.000000,bottom
"D9",-72.199500,-110.807500,90.000000,bottom
"D10",-67.437000,-91.757500,90.000000,bottom
"D11",-57.912000,-72.707500,90.000000,bottom
"D12",-76.962000,-34.607500,90.000000,bottom
"D13",-76.962000,-72.707500,90.000000,bottom
"D14",-86.487000,-91.757500,90.000000,bottom
"D15",-91.249500,-110.807500,90.000000,bottom
"D16",-100.774500,-129.857500,90.000000,bottom
"D17",-96.012000,-148.907500,90.000000,bottom
"D18",-119.824500,-129.857500,90.000000,bottom
"D19",-110.299500,-110.807500,90.000000,bottom
"D20",-105.537000,-93.407500,90.000000,bottom
"D21",-96.012000,-72.707500,90.000000,bottom
"D22",-96.012000,-34.607500,90.000000,bottom
"D23",-115.062000,-34.607500,90.000000,bottom
"D24",-115.062000,-72.707500,90.000000,bottom
"D25",-124.587000,-91.757500,90.000000,bottom
"D26",-129.349500,-110.807500,90.000000,bottom
"D27",-138.874500,-129.857500,90.000000,bottom
"D28",-172.212000,-148.907500,90.000000,bottom
"D29",-157.924500,-129.857500,90.000000,bottom
"D30",-148.399500,-110.807500,90.000000,bottom
"D31",-143.637000,-91.757500,90.000000,bottom
"D32",-134.112000,-72.707500,90.000000,bottom
"D33",-134.112000,-34.607500,90.000000,bottom
"D34",-162.687000,-34.607500,90.000000,bottom
"D35",-153.162000,-72.707500,90.000000,bottom
"D36",-162.687000,-91.757500,90.000000,bottom
"D37",-167.449500,-110.807500,90.000000,bottom
"D38",-176.974500,-129.857500,90.000000,bottom
"D39",-196.024500,-129.857500,90.000000,bottom
"D40",-186.499500,-110.807500,90.000000,bottom
"D41",-181.737000,-91.757500,90.000000,bottom
"D42",-172.212000,-72.707500,90.000000,bottom
"D43",-403.352000,-137.796000,-90.000000,bottom
"D44",-181.737000,-34.607500,90.000000,bottom
"D45",-200.787000,-34.607500,90.000000,bottom
"D46",-191.262000,-72.707500,90.000000,bottom
"D47",-200.787000,-91.757500,90.000000,bottom
"D48",-205.549500,-110.807500,90.000000,bottom
"D49",-215.074500,-129.857500,90.000000,bottom
"D50",-248.412000,-148.907500,90.000000,bottom
"D51",-234.124500,-129.857500,90.000000,bottom
"D52",-224.599500,-110.807500,90.000000,bottom
"D53",-219.837000,-91.757500,90.000000,bottom
"D54",-210.312000,-72.707500,90.000000,bottom
"D55",-219.837000,-34.607500,90.000000,bottom
"D56",-248.412000,-34.607500,90.000000,bottom
"D57",-229.362000,-72.707500,90.000000,bottom
"D58",-238.887000,-91.757500,90.000000,bottom
"D59",-243.649500,-110.807500,90.000000,bottom
"D60",-253.174500,-129.857500,90.000000,bottom
"D61",-274.605750,-148.907500,90.000000,bottom
"D62",-288.893250,-128.207500,90.000000,bottom
"D63",-262.699500,-110.807500,90.000000,bottom
"D64",-257.937000,-91.757500,90.000000,bottom
"D65",-248.412000,-72.707500,90.000000,bottom
"D66",-267.462000,-34.607500,90.000000,bottom
"D67",-286.512000,-34.607500,90.000000,bottom
"D68",-267.462000,-72.707500,90.000000,bottom
"D69",-276.987000,-91.757500,90.000000,bottom
"D70",-300.799500,-91.757500,90.000000,bottom
"D71",-293.655750,-110.807500,90.000000,bottom
"D72",-300.799500,-148.907500,90.000000,bottom
"D73",-333.184500,-148.907500,90.000000,bottom
"D74",-333.184500,-91.757500,90.000000,bottom
